"Initiative Name","Item Name","PO Number","CMS Job No.","Total Quantity","Delivery Country","Quantity","No. of Pallets","Size of Pallet (h x w x d)","Assembled Product Size (h x w x d)","Outer Pack Size (h x w x d)","Artwork/Promotion","Claim","Artwork Version","Die Cut Version","Artwork Due date","Actual artwork received date","Artwork approved date","Requested Delivery date","Confirmed Delivery Date","Updated Delivery Date","Actual Date Delivered","CMS POD (Y/N)","GR (Y/N)","Invoiced (Y/N)","Labelling","Delivery Address","Booking In Details","Comments","Supplier","PDF downdloaded from Box.com","Approval from Box.com","Status","Orderer","Unit Cost (EUR)","Order Total (EUR)"
"Q4 Bulk Order - Pringles 2017","004. Multi Use FSDU Body","","","","CEE Cluster","100","","","1382mm (h) x 412mm (w) x 316mm (d)

1795mm (h) including header","801mm (h) x 876mm (w) x 48mm (d)","","","","","","2017-07-21T10:29:13.380Z","","","","","","","","","","Croatia, Orbico","","","","","","Order Submitted","Laura.aitken@kellogg.com","0","0.00"
"Q4 Bulk Order - Pringles 2017","004. Multi Use FSDU Body","","","","CEE Cluster","150","","","1382mm (h) x 412mm (w) x 316mm (d)

1795mm (h) including header","801mm (h) x 876mm (w) x 48mm (d)","","","","","","2017-07-21T10:29:13.380Z","","","","","","","","","","Slovenia, Orbico d.o.o","","","","","","Order Submitted","Laura.aitken@kellogg.com","0","0.00"
"Q4 Bulk Order - Pringles 2017","004. Multi Use FSDU Body","","","","CEE Cluster","20","","","1382mm (h) x 412mm (w) x 316mm (d)

1795mm (h) including header","801mm (h) x 876mm (w) x 48mm (d)","","","","","","2017-07-21T10:29:13.380Z","","","","","","","","","","Albania, Orbico","","","","","","Order Submitted","Laura.aitken@kellogg.com","0","0.00"
"Q4 Bulk Order - Pringles 2017","004. Multi Use FSDU Body","","","","CEE Cluster","20","","","1382mm (h) x 412mm (w) x 316mm (d)

1795mm (h) including header","801mm (h) x 876mm (w) x 48mm (d)","","","","","","2017-07-21T10:29:13.380Z","","","","","","","","","","Bosnia, Orbico","","","","","","Order Submitted","Laura.aitken@kellogg.com","0","0.00"
"Q4 Bulk Order - Pringles 2017","004. Multi Use FSDU Body","","","","CEE Cluster","20","","","1382mm (h) x 412mm (w) x 316mm (d)

1795mm (h) including header","801mm (h) x 876mm (w) x 48mm (d)","","","","","","2017-07-21T10:29:13.380Z","","","","","","","","","","Macedonia, DTU Orbico","","","","","","Order Submitted","Laura.aitken@kellogg.com","0","0.00"
"Q4 Bulk Order - Pringles 2017","004. Multi Use FSDU Body","","","","CEE Cluster","20","","","1382mm (h) x 412mm (w) x 316mm (d)

1795mm (h) including header","801mm (h) x 876mm (w) x 48mm (d)","","","","","","2017-07-21T10:29:13.380Z","","","","","","","","","","Montenegro, Orbico Crna Gora","","","","","","Order Submitted","Laura.aitken@kellogg.com","0","0.00"
"Q4 Bulk Order - Pringles 2017","004. Multi Use FSDU Body","","","","CEE Cluster","60","","","1382mm (h) x 412mm (w) x 316mm (d)

1795mm (h) including header","801mm (h) x 876mm (w) x 48mm (d)","","","","","","2017-07-21T10:29:13.380Z","","","","","","","","","","Serbia, Orbico Trgovina","","","","","","Order Submitted","Laura.aitken@kellogg.com","0","0.00"
"Q4 Bulk Order - Pringles 2017","017. Pallet Roll","","","","CEE Cluster","10","","","Image size (FRONT): 230mm (h) x 980mm (w)
Image size (BACK): 230mm (h) x 750mm (w)

Roll length: 19,600mm (19.6m) = 20 images long.","265mm (h) x 265mm (w) x 250mm (d)","","","","","","2017-07-21T10:29:13.380Z","","","","","","","","","","Albania, Orbico","","","","","","Order Submitted","Laura.aitken@kellogg.com","0","0.00"
"Q4 Bulk Order - Pringles 2017","017. Pallet Roll","","","","CEE Cluster","10","","","Image size (FRONT): 230mm (h) x 980mm (w)
Image size (BACK): 230mm (h) x 750mm (w)

Roll length: 19,600mm (19.6m) = 20 images long.","265mm (h) x 265mm (w) x 250mm (d)","","","","","","2017-07-21T10:29:13.380Z","","","","","","","","","","Bosnia, Orbico","","","","","","Order Submitted","Laura.aitken@kellogg.com","0","0.00"
"Q4 Bulk Order - Pringles 2017","017. Pallet Roll","","","","CEE Cluster","10","","","Image size (FRONT): 230mm (h) x 980mm (w)
Image size (BACK): 230mm (h) x 750mm (w)

Roll length: 19,600mm (19.6m) = 20 images long.","265mm (h) x 265mm (w) x 250mm (d)","","","","","","2017-07-21T10:29:13.380Z","","","","","","","","","","Macedonia, DTU Orbico","","","","","","Order Submitted","Laura.aitken@kellogg.com","0","0.00"
